name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2001-08-01,24.8,16.2,19.9,24.8,16.2,19.9,11.2,58.9,0,0,0,,0,0,,20.3,103.5,1024.6,68.8,32.8,,,,,2001-08-01T05:24:06,2001-08-01T20:48:31,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-02,20.3,14.2,16.5,20.3,14.2,16.5,13.9,85.1,8.375,100,8.33,rain,0,0,,13.3,67.3,1012.4,87.3,10.1,,,,,2001-08-02T05:25:36,2001-08-02T20:46:51,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03768399999,03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-03,22.1,14.6,17.2,22.1,14.6,17.2,13.2,78.5,2.764,100,8.33,rain,0,0,,20.6,243.8,1010.1,88.2,16.4,,,,,2001-08-03T05:27:07,2001-08-03T20:45:11,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-04,20.8,11.4,15.7,20.8,11.4,15.7,10.9,75.1,1.623,100,8.33,rain,0,0,,26.4,227.9,1014.7,61.2,32.2,,,,,2001-08-04T05:28:39,2001-08-04T20:43:28,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03781099999,03768099999,03684099999,03761099999,03672099999,03772099999"
London,2001-08-05,22.1,12.2,16.9,22.1,12.2,16.9,11,71.5,8.013,100,8.33,rain,0,0,,20.4,248,1015.2,54,32.5,,,,,2001-08-05T05:30:10,2001-08-05T20:41:44,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03660099999,03781099999,03768099999,03684099999,03761099999,03672099999,03772099999"
London,2001-08-06,22.3,15.3,18,22.3,15.3,18,14.3,79.4,5.091,100,12.5,rain,0,0,,27.8,230.8,1010.7,84.5,24,,,,,2001-08-06T05:31:43,2001-08-06T20:39:58,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03781099999,03768099999,03684099999,03761099999,03672099999,03772099999"
London,2001-08-07,19,13.6,16.7,19,13.6,16.7,13,79.3,2.556,100,12.5,rain,0,0,,28.8,208.7,1005.7,82.1,26.9,,,,,2001-08-07T05:33:16,2001-08-07T20:38:10,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03768399999,03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-08,18.9,13.6,16,18.9,13.6,16,11.2,74.2,3.178,100,16.67,rain,0,0,,26.5,248.5,1003.4,63.6,31.8,,,,,2001-08-08T05:34:49,2001-08-08T20:36:21,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-09,16.6,11.6,13.4,16.6,11.6,13.4,11.5,88.1,26.08,100,12.5,rain,0,0,,19.7,310,1011.4,87,18.3,,,,,2001-08-09T05:36:23,2001-08-09T20:34:31,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-10,19.3,8.9,14.5,19.3,7.4,14.2,8.1,68.4,1.15,100,4.17,rain,0,0,,19,282.3,1023.7,42,35.7,,,,,2001-08-10T05:37:56,2001-08-10T20:32:39,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-11,20.1,10.3,15.5,20.1,10.3,15.5,10.7,74.1,0.929,100,8.33,rain,0,0,,27,218.9,1025.4,60.6,34.6,,,,,2001-08-11T05:39:31,2001-08-11T20:30:45,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03768399999,03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-12,19.1,15.5,17.3,19.1,15.5,17.3,14.7,84.7,3.345,100,12.5,rain,0,0,,27.7,218.2,1017.6,85.8,18.9,,,,,2001-08-12T05:41:05,2001-08-12T20:28:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03768399999,03660099999,03672099999,03781099999,03768099999,03684099999,03772099999"
London,2001-08-13,24.6,16.5,19.7,24.6,16.5,19.7,16.1,80.2,0,0,0,,0,0,,20.9,230.6,1013.7,76.3,21.9,,,,,2001-08-13T05:42:40,2001-08-13T20:26:55,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03781099999,03768099999,03684099999,03772099999"
London,2001-08-14,26.1,16.5,20.8,26.1,16.5,20.8,15.1,71.9,0.484,100,8.33,rain,0,0,,20,200.9,1013.6,70.3,21.2,,,,,2001-08-14T05:44:15,2001-08-14T20:24:57,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03768399999,03660099999,03672099999,03781099999,03768099999,03684099999,03761099999,03772099999"
London,2001-08-15,28.9,18.1,22.2,28.9,18.1,22.3,15,64.9,0.644,100,8.33,rain,0,0,,24.2,181.8,1010.8,51.1,24,,,,,2001-08-15T05:45:50,2001-08-15T20:22:59,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03781099999,03768099999,03684099999,03772099999"
London,2001-08-16,21.3,14.6,18.1,21.3,14.6,18.1,12.5,71.6,1.601,100,12.5,rain,0,0,,25.4,229.2,1013.4,63.2,30.2,,,,,2001-08-16T05:47:25,2001-08-16T20:20:59,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03781099999,03768099999,03684099999,03772099999"
