name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2020-03-01,7.4,2.9,5.2,3.2,-0.8,0.9,-0.4,67.8,2.486,100,4.17,rain,0,0,72.4,33.7,242.9,982.1,62.1,27.2,29.6,2.7,2,,2020-03-01T06:55:49,2020-03-01T17:47:36,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-02,7.2,0.2,3.4,3.2,-2.5,0.1,0,79.3,0.319,100,12.5,rain,0,0.1,64.8,26.8,243.9,988.5,38.1,28.7,26.7,2.2,2,,2020-03-02T06:53:30,2020-03-02T17:49:31,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-03,7,2,4.1,2.8,-1.3,0.5,1.9,86.1,2.514,100,12.5,rain,0,0.8,59.4,28.4,261.6,999.6,67.9,18.9,17.2,1.2,2,,2020-03-03T06:51:10,2020-03-03T17:51:25,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-04,7.2,0.4,3.6,5.7,-2.3,2,1.1,84.2,0,0,0,,0,0,23.8,11.5,167.3,1006.9,89.5,24.7,18.1,1.4,1,,2020-03-04T06:48:50,2020-03-04T17:53:19,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-05,7.4,-1.2,2.8,4.9,-4,1,-0.3,81.9,0.015,100,4.17,rain,0,0,51.8,16.2,36.7,999.7,58.1,16.6,21.5,1.8,1,,2020-03-05T06:46:29,2020-03-05T17:55:13,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-06,8.8,-2.4,2.9,7.7,-4.3,1.8,-0.3,81.2,0,0,0,,0,0,21.6,14.7,265.3,1005.4,51.9,19.8,33.1,2.8,2,,2020-03-06T06:44:08,2020-03-06T17:57:07,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-07,12.2,3,8,12.2,0.4,6.1,5.1,82.3,0,0,0,,0,0,62.3,30,207.5,1009,79.1,24.1,19.6,1.5,1,,2020-03-07T06:41:46,2020-03-07T17:59:00,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-08,10.6,4.9,8,10.6,1.5,5.1,5,82.2,2.116,100,16.67,rain,0,0,61.2,27.3,233.4,1000,57.3,26.7,26.4,2.3,1,,2020-03-08T06:39:24,2020-03-08T18:00:53,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-09,10.6,4.9,6.9,10.6,0.8,3.2,4.7,86.1,6.44,100,16.67,rain,0,0,61.2,31.4,245.6,1005.5,82,16.3,19.9,1.7,1,,2020-03-09T06:37:01,2020-03-09T18:02:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-10,12,7.6,10.4,12,4.8,9.7,7.9,84.7,11.402,100,12.5,rain,0,0,69.2,35.3,257.6,1000,81.3,26.1,9.6,0.8,0,,2020-03-10T06:34:38,2020-03-10T18:04:38,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-11,11,5,7.9,11,-0.7,5.2,4.3,78.6,0.652,100,8.33,rain,0,0,83.5,53.1,236.2,1003.1,53.7,29.6,36.8,3.1,2,,2020-03-11T06:32:14,2020-03-11T18:06:31,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-12,8.7,3.2,5.5,4.6,-2.9,0.8,0.4,70.2,2.919,100,16.67,rain,0,0,76.1,40.7,255.5,1003.5,54.9,29.4,43.5,3.7,2,,2020-03-12T06:29:50,2020-03-12T18:08:23,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-13,9.2,4.4,6.4,8.7,0.7,3.5,3,79.7,2.832,100,12.5,rain,0,0,58.3,30.7,270.1,1014.6,67.8,27.7,30.9,2.5,2,,2020-03-13T06:27:26,2020-03-13T18:10:14,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-14,10.9,5.1,8.1,10.9,1.7,5.7,5.6,84.6,0.471,100,16.67,rain,0,0,53.2,25.7,184.7,1009,87,28.8,24.1,2,1,,2020-03-14T06:25:02,2020-03-14T18:12:06,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-15,10,5.6,7.8,6.6,1.9,4.6,4.9,82.4,5.063,100,12.5,rain,0,0,57.1,29.6,250.1,1004.4,74.9,27.2,18.8,1.4,1,,2020-03-15T06:22:37,2020-03-15T18:13:57,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999,C3546"
Manchester,2020-03-16,9.9,4.8,7.3,7.8,2.4,4.7,2.3,71.7,0.03,100,8.33,rain,0,0,51.8,20.8,244.1,1018.9,73,28.1,34.6,2.9,2,,2020-03-16T06:20:12,2020-03-16T18:15:49,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-17,13.9,7.5,10.8,13.9,4.1,9.7,7.4,79.9,0.047,100,4.17,rain,0,0,62.9,28.5,220.7,1020.7,79.3,40.2,31.8,2.6,1,,2020-03-17T06:17:46,2020-03-17T18:17:40,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-18,11.2,4.5,6.9,11.2,3,4.9,5,88.1,1.251,100,12.5,rain,0,0,58.9,23.2,286.3,1023.1,86.7,17.6,21,1.9,1,,2020-03-18T06:15:21,2020-03-18T18:19:31,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-19,9,3.2,5.7,8.1,2.2,4.9,1.4,76.2,0,0,0,,0,0,18.7,10.7,3.3,1028.2,94.4,23.7,30.7,2.6,1,,2020-03-19T06:12:55,2020-03-19T18:21:21,0.83,Overcast,Cloudy skies throughout the day.,cloudy,"03346099999,03318099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2020-03-20,8.9,2.5,5.5,5.6,-0.3,2.4,0.2,70.5,0,0,0,,0,0,68.4,28.3,74,1032.1,51.6,31,44.6,3.8,3,,2020-03-20T06:10:30,2020-03-20T18:23:12,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F0705,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2020-03-21,8.9,2.9,5.1,5.3,-0.7,1.3,-1.2,65.5,0.017,100,4.17,rain,0,0,57.6,29.8,111.8,1028.9,57.3,32.6,40.5,3.4,2,,2020-03-21T06:08:04,2020-03-21T18:25:02,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
